customer_id,age,time_spent,pages_viewed,basket_value,device_type,customer_type,category,num_sessions,purchase
1,56,94.8,16,59.43,Mobile,Returning,Fashion,16,1
2,69,15.28,20,20.8,Desktop,Returning,Electronics,11,0
3,46,54.94,29,10.37,Mobile,Returning,Electronics,4,0
4,32,6.27,6,36.13,Mobile,Returning,Home Goods,9,1
5,60,33.48,26,23.6,Mobile,Returning,Fashion,15,1
6,25,113.18,11,56.53,Desktop,New,Fashion,12,0
7,38,3.22,24,271.48,Desktop,Returning,Fashion,16,1
8,56,0.25,29,68.44,Tablet,New,Home Goods,4,1
9,36,19.92,15,0.0,Mobile,New,Electronics,3,1
10,40,2.92,20,84.19,Tablet,Returning,Electronics,4,1
11,28,41.4,10,51.59,Tablet,Returning,Fashion,2,0
12,28,73.79,29,154.27,Desktop,New,Home Goods,19,1
13,41,17.08,28,0.0,Tablet,Returning,Electronics,7,1
14,53,8.98,1,162.38,Mobile,New,Home Goods,2,1
15,57,17.1,20,27.58,Mobile,Returning,Fashion,1,1
16,41,38.56,11,11.03,Mobile,Returning,Electronics,18,1
17,20,0.27,26,154.66,Desktop,Returning,Home Goods,8,1
18,39,26.71,26,70.83,Desktop,Returning,Electronics,8,1
19,19,28.5,12,175.92,Desktop,New,Fashion,10,1
20,41,30.46,14,222.23,Mobile,Returning,Home Goods,18,1
21,61,8.31,25,4.41,Mobile,New,Fashion,11,0
22,47,37.56,8,55.61,Mobile,New,Fashion,1,1
23,55,2.88,11,37.6,Desktop,Returning,Electronics,7,0
24,19,19.92,15,0.0,Unknown,New,Electronics,8,0
25,38,62.98,28,126.23,Tablet,Returning,Home Goods,14,1
26,50,40.27,7,26.35,Mobile,Returning,Fashion,19,1
27,29,0.42,10,65.1,Mobile,New,Electronics,8,0
28,39,8.57,19,98.68,Tablet,Returning,Electronics,19,1
29,61,7.24,25,11.55,Mobile,Returning,Fashion,4,0
30,42,19.92,15,0.0,Unknown,New,Home Goods,10,1
31,66,8.53,4,74.53,Mobile,Returning,Home Goods,10,0
32,44,1.94,2,238.92,Mobile,New,Electronics,4,1
33,59,18.43,26,33.18,Tablet,Returning,Fashion,8,0
34,45,19.92,21,0.0,Desktop,Returning,Home Goods,7,0
35,33,28.0,18,56.5,Mobile,Returning,Fashion,15,1
36,32,33.52,14,7.18,Desktop,New,Fashion,8,0
37,64,2.54,26,279.27,Mobile,New,Fashion,10,0
38,68,90.78,16,3.16,Desktop,Returning,Fashion,7,1
39,61,54.7,22,112.03,Tablet,Returning,Home Goods,19,1
40,69,49.06,11,59.57,Tablet,Returning,Electronics,3,0
41,20,51.95,10,36.79,Mobile,Returning,Home Goods,9,1
42,54,80.96,17,5.45,Mobile,Returning,Fashion,16,0
43,68,23.57,14,77.86,Mobile,Returning,Electronics,14,1
44,24,6.7,22,70.4,Desktop,New,Home Goods,7,0
45,38,28.77,4,26.38,Desktop,Returning,Home Goods,12,1
46,26,40.75,19,192.83,Mobile,New,Electronics,1,1
47,56,40.17,2,29.01,Tablet,New,Fashion,16,0
48,35,22.11,7,47.79,Mobile,Returning,Home Goods,3,1
49,21,2.13,9,62.78,Mobile,New,Fashion,1,0
50,42,13.91,28,8.45,Mobile,Returning,Electronics,6,0
51,31,76.06,19,215.25,Mobile,New,Electronics,2,1
52,67,26.34,16,37.54,Mobile,New,Electronics,7,0
53,26,23.19,22,6.74,Desktop,Returning,Electronics,8,1
54,43,9.39,25,39.19,Mobile,Returning,Electronics,13,0
55,19,13.79,16,73.34,Mobile,Returning,Fashion,16,1
56,37,67.71,18,57.67,Desktop,Returning,Electronics,10,1
57,45,32.94,23,94.88,Mobile,New,Electronics,4,0
58,64,46.45,21,4.57,Desktop,Returning,Fashion,13,1
59,24,18.17,21,26.79,Mobile,New,Fashion,17,0
60,61,29.85,11,136.84,Desktop,Returning,Fashion,8,1
61,25,8.57,7,6.66,Tablet,Returning,Electronics,8,0
62,64,36.67,9,154.75,Mobile,Returning,Home Goods,7,1
63,52,16.74,4,7.71,Desktop,Returning,Fashion,1,0
64,31,17.53,25,143.88,Tablet,New,Electronics,15,0
65,34,31.44,13,35.8,Desktop,Returning,Electronics,15,1
66,53,19.92,15,0.0,Unknown,New,Fashion,19,1
67,67,1.98,26,13.27,Mobile,New,Home Goods,4,0
68,57,52.25,25,5.48,Desktop,Returning,Fashion,6,0
69,21,10.38,29,19.46,Tablet,New,Home Goods,10,1
70,19,17.61,4,10.94,Mobile,New,Fashion,12,0
71,23,0.66,19,29.96,Mobile,Returning,Fashion,4,0
72,59,10.75,2,57.79,Mobile,Returning,Fashion,6,0
73,21,20.95,9,71.09,Mobile,New,Fashion,14,1
74,46,1.73,12,124.8,Mobile,Returning,Home Goods,13,1
75,35,20.26,2,85.42,Mobile,Returning,Fashion,3,1
76,43,78.56,6,75.07,Mobile,Returning,Electronics,15,1
77,61,3.34,5,42.45,Mobile,Returning,Fashion,3,0
78,51,43.37,5,51.37,Tablet,Returning,Home Goods,5,1
79,27,15.81,20,42.83,Mobile,Returning,Home Goods,13,1
80,53,19.92,15,0.0,Unknown,New,Electronics,15,1
81,31,9.04,5,20.91,Mobile,New,Fashion,17,1
82,48,5.21,27,0.46,Tablet,Returning,Electronics,6,1
83,65,5.25,4,84.29,Desktop,Returning,Fashion,18,1
84,32,2.19,29,18.1,Desktop,Returning,Fashion,3,1
85,25,19.92,15,0.0,Unknown,New,Electronics,9,0
86,31,32.74,29,156.75,Desktop,Returning,Home Goods,8,1
87,40,64.03,22,6.39,Mobile,Returning,Home Goods,11,0
88,57,50.48,27,9.0,Mobile,Returning,Electronics,11,1
89,38,34.67,10,54.68,Desktop,Returning,Electronics,8,0
